DEL NORTE 2E	maxt	mint	pcpn	snow
2001-01-01	45	5	0.00	0.0
2001-01-02	40	3	0.00	0.0
2001-01-03	40	4	0.00	0.0
2001-01-04	45	6	0.00	0.0
2001-01-05	47	9	0.00	0.0
2001-01-06	50	11	0.00	0.0
2001-01-07	47	12	0.00	0.0
2001-01-08	41	4	0.00	0.0
2001-01-09	38	6	0.00	0.0
2001-01-10	39	8	0.00	0.0
2001-01-11	39	4	0.00	0.0
2001-01-12	37	8	0.00	0.0
2001-01-13	39	8	0.07	0.5
2001-01-14	M	M	0.00	0.0
2001-01-15	32	1	0.00	0.0
2001-01-16	26	6	0.16	2.8
2001-01-17	22	-14	0.19	2.2
2001-01-18	18	-13	0.00	0.0
2001-01-19	18	-8	0.00	0.0
2001-01-20	22	-4	0.00	0.0
2001-01-21	29	-8	0.00	0.0
2001-01-22	24	-4	0.00	0.0
2001-01-23	27	6	0.07	0.8
2001-01-24	30	7	0.00	0.0
2001-01-25	30	6	0.05	0.5
2001-01-26	31	2	0.11	3.0
2001-01-27	15	M	T	0.3
2001-01-28	17	M	0.29	3.0
2001-01-29	30	13	T	T
2001-01-30	34	-6	0.00	0.0
2001-01-31	25	-2	0.00	0.0
2001-02-01	16	-3	0.00	0.0
2001-02-02	21	-7	0.00	0.0
2001-02-03	29	2	0.00	0.0
2001-02-04	34	5	0.00	0.0
2001-02-05	38	4	0.00	0.0
2001-02-06	34	5	0.00	0.0
2001-02-07	44	7	T	M
2001-02-08	41	20	0.22	4.0
2001-02-09	36	4	0.12	2.2
2001-02-10	25	-6	T	T
2001-02-11	27	-0	T	0.2
2001-02-12	35	-0	0.00	0.0
2001-02-13	35	2	0.00	0.0
2001-02-14	38	7	0.06	1.2
2001-02-15	32	1	0.00	0.0
2001-02-16	26	M	0.00	0.0
2001-02-17	30	-2	0.00	0.0
2001-02-18	34	10	0.00	0.0
2001-02-19	43	17	0.00	0.0
2001-02-20	45	15	0.00	0.0
2001-02-21	46	17	0.00	0.0
2001-02-22	44	16	0.00	0.0
2001-02-23	41	16	0.00	0.0
2001-02-24	43	16	T	T
2001-02-25	43	11	0.00	0.0
2001-02-26	38	12	0.00	0.0
2001-02-27	33	17	0.21	2.3
2001-02-28	40	17	0.05	0.5
2001-03-01	31	6	0.25	4.0
2001-03-02	31	7	0.00	0.0
2001-03-03	32	10	0.00	0.0
2001-03-04	36	13	0.00	0.0
2001-03-05	39	17	0.00	0.0
2001-03-06	43	21	0.00	0.0
2001-03-07	49	27	T	0.3
2001-03-08	35	28	0.38	1.3
2001-03-09	46	21	0.00	0.0
2001-03-10	45	22	0.00	0.0
2001-03-11	44	13	0.15	2.3
2001-03-12	38	13	0.00	0.0
2001-03-13	46	18	0.00	0.0
2001-03-14	45	19	0.00	0.0
2001-03-15	48	18	T	T
2001-03-16	41	18	0.00	0.0
2001-03-17	44	M	T	0.1
2001-03-18	34	12	0.13	0.6
2001-03-19	41	13	0.00	0.0
2001-03-20	51	20	0.00	0.0
2001-03-21	59	24	0.00	0.0
2001-03-22	64	29	0.00	0.0
2001-03-23	56	24	0.02	0.0
2001-03-24	53	27	0.64	2.8
2001-03-25	49	26	T	T
2001-03-26	56	27	0.00	0.0
2001-03-27	53	27	0.02	0.0
2001-03-28	47	23	0.00	0.0
2001-03-29	47	25	T	T
2001-03-30	47	22	T	T
2001-03-31	51	21	0.00	0.0
2001-04-01	56	24	0.00	0.0
2001-04-02	64	27	0.00	0.0
2001-04-03	61	28	0.00	0.0
2001-04-04	60	28	0.00	0.0
2001-04-05	65	28	0.00	0.0
2001-04-06	55	32	0.16	0.0
2001-04-07	46	20	0.03	0.0
2001-04-08	51	24	0.00	0.0
2001-04-09	49	21	0.00	0.0
2001-04-10	55	18	0.00	0.0
2001-04-11	52	23	T	0.0
2001-04-12	52	20	0.00	0.0
2001-04-13	46	15	T	0.0
2001-04-14	55	16	0.00	0.0
2001-04-15	56	22	0.00	0.0
2001-04-16	63	26	0.00	0.0
