# ---------------------------------- WARNING ----------------------------------------
# Provisional data are subject to revision. Go to
# http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-11-02 04:17:13 -04:00	(natwebsdas01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 08220000 RIO GRANDE NEAR DEL NORTE, CO
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
# IV_TS_ID - An internal number representing the Instantaneous Value time series from which the daily statistic is calculated.
#
# Data provided for site 08220000
#    TS_ID       Parameter    Statistic  IV_TS_ID       Description
#    18268       00060        00003      -1             Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been edited or estimated by USGS personnel and is write protected.
#
agency_cd	site_no	datetime	18268_00060_00003	18268_00060_00003_cd
5s	15s	20d	14n	10s
USGS	08220000	2005-01-01	210	A:e
USGS	08220000	2005-01-02	190	A:e
USGS	08220000	2005-01-03	190	A:e
USGS	08220000	2005-01-04	200	A:e
USGS	08220000	2005-01-05	200	A:e
USGS	08220000	2005-01-06	190	A:e
USGS	08220000	2005-01-07	170	A:e
USGS	08220000	2005-01-08	180	A:e
USGS	08220000	2005-01-09	200	A:e
USGS	08220000	2005-01-10	220	A:e
USGS	08220000	2005-01-11	210	A:e
USGS	08220000	2005-01-12	200	A:e
USGS	08220000	2005-01-13	190	A:e
USGS	08220000	2005-01-14	170	A:e
USGS	08220000	2005-01-15	170	A:e
USGS	08220000	2005-01-16	180	A:e
USGS	08220000	2005-01-17	190	A:e
USGS	08220000	2005-01-18	200	A:e
USGS	08220000	2005-01-19	210	A:e
USGS	08220000	2005-01-20	220	A:e
USGS	08220000	2005-01-21	220	A:e
USGS	08220000	2005-01-22	220	A:e
USGS	08220000	2005-01-23	220	A:e
USGS	08220000	2005-01-24	220	A:e
USGS	08220000	2005-01-25	220	A:e
USGS	08220000	2005-01-26	220	A:e
USGS	08220000	2005-01-27	230	A:e
USGS	08220000	2005-01-28	240	A:e
USGS	08220000	2005-01-29	230	A:e
USGS	08220000	2005-01-30	210	A:e
USGS	08220000	2005-01-31	200	A:e
USGS	08220000	2005-02-01	190	A:e
USGS	08220000	2005-02-02	180	A:e
USGS	08220000	2005-02-03	180	A:e
USGS	08220000	2005-02-04	180	A:e
USGS	08220000	2005-02-05	190	A:e
USGS	08220000	2005-02-06	200	A:e
USGS	08220000	2005-02-07	190	A:e
USGS	08220000	2005-02-08	190	A:e
USGS	08220000	2005-02-09	180	A:e
USGS	08220000	2005-02-10	190	A:e
USGS	08220000	2005-02-11	200	A:e
USGS	08220000	2005-02-12	210	A:e
USGS	08220000	2005-02-13	210	A:e
USGS	08220000	2005-02-14	210	A:e
USGS	08220000	2005-02-15	210	A:e
USGS	08220000	2005-02-16	210	A:e
USGS	08220000	2005-02-17	200	A:e
USGS	08220000	2005-02-18	200	A:e
USGS	08220000	2005-02-19	190	A:e
USGS	08220000	2005-02-20	200	A:e
USGS	08220000	2005-02-21	203	A
USGS	08220000	2005-02-22	205	A
USGS	08220000	2005-02-23	213	A
USGS	08220000	2005-02-24	207	A
USGS	08220000	2005-02-25	191	A
USGS	08220000	2005-02-26	190	A
USGS	08220000	2005-02-27	196	A
USGS	08220000	2005-02-28	190	A
USGS	08220000	2005-03-01	195	A
USGS	08220000	2005-03-02	196	A
USGS	08220000	2005-03-03	194	A
USGS	08220000	2005-03-04	189	A
